#{"t_start": 1761561634.0887206, "env_id": "None"}
r,l,t
1.0,1,4.706249
0.2,9,4.711248
0.9,2,4.712248
-1.0,21,4.728789
1.0,1,4.729788
1.0,1,4.729788
0.2,9,4.735757
1.0,1,4.737762
-0.1,12,4.744761
0.7,4,4.749761
0.8,3,4.749761
0.4,7,4.756788
0.7,4,4.759761
0.7,4,4.763788
0.8,3,4.766788
1.0,1,4.766788
0.6,5,4.769758
-0.2,13,4.779758
0.4,7,4.782758
-1.0,21,4.79776
0.5,6,4.800761
0.0,11,4.807766
0.3,8,4.814798
0.9,2,4.815766
0.4,7,4.821367
1.0,1,4.822333
0.4,7,4.827331
0.7,4,4.830332
-0.5,16,4.840363
0.7,4,4.844363
0.8,3,4.847362
0.7,4,4.851334
0.7,4,4.853332
0.9,2,4.854332
0.8,3,4.857334
0.2,9,4.862331
0.2,9,4.871333
1.0,1,4.872331
0.2,9,4.877333
-0.5,16,4.891335
0.9,2,4.894362
0.6,5,4.898335
1.0,1,4.899346
1.0,1,4.899346
0.5,6,4.904362
0.9,2,4.90537
0.4,7,4.909368
0.1,10,4.917403
0.2,9,4.922881
0.6,5,4.92788
-0.2,13,4.934879
0.2,9,4.940879
0.4,7,4.943882
0.6,5,4.950883
1.0,1,4.950883
1.0,1,4.950883
0.5,6,4.956881
0.5,6,4.959882
0.5,6,4.964881
1.0,1,4.966881
0.4,7,4.971881
0.2,9,4.976883
1.0,1,4.976883
0.7,4,4.979881
0.6,5,4.982884
1.0,1,4.985881
-0.2,13,4.993881
0.7,4,4.996879
0.4,7,5.001878
0.3,8,5.009884
-0.5,16,5.020393
1.0,1,5.020393
0.3,8,5.028392
-0.2,13,5.036423
0.3,8,5.041392
0.3,8,5.047392
0.4,7,5.052392
0.9,2,5.053392
0.4,7,5.058429
0.4,7,5.065395
0.8,3,5.067394
1.0,1,5.067394
-0.1,12,5.075429
-0.5,16,5.087438
0.6,5,5.090427
0.8,3,5.093429
0.4,7,5.098394
0.7,4,5.100395
0.6,5,5.103395
0.9,2,5.1064
0.8,3,5.109399
0.4,7,5.1134
1.0,1,5.114401
0.8,3,5.116401
1.0,1,5.116401
